
Matriz,TamanioPagina,Marcos,Politica,Fallas,Hits,TasaFallas
8x8,64,4,FIFO,400,688,0.3676
8x8,64,4,FIFOModified,400,688,0.3676
8x8,64,4,LRU,324,764,0.2978
8x8,64,8,FIFO,16,1072,0.0147
8x8,64,8,FIFOModified,16,1072,0.0147
8x8,64,8,LRU,12,1076,0.0110
8x8,64,16,FIFO,12,1076,0.0110
8x8,64,16,FIFOModified,12,1076,0.0110
8x8,64,16,LRU,12,1076,0.0110
8x8,256,4,FIFO,3,1085,0.0028
8x8,256,4,FIFOModified,3,1085,0.0028
8x8,256,4,LRU,3,1085,0.0028
8x8,256,8,FIFO,3,1085,0.0028
8x8,256,8,FIFOModified,3,1085,0.0028
8x8,256,8,LRU,3,1085,0.0028
8x8,256,16,FIFO,3,1085,0.0028
8x8,256,16,FIFOModified,3,1085,0.0028
8x8,256,16,LRU,3,1085,0.0028
8x8,1024,4,FIFO,1,1087,0.0009
8x8,1024,4,FIFOModified,1,1087,0.0009
8x8,1024,4,LRU,1,1087,0.0009
8x8,1024,8,FIFO,1,1087,0.0009
8x8,1024,8,FIFOModified,1,1087,0.0009
8x8,1024,8,LRU,1,1087,0.0009
8x8,1024,16,FIFO,1,1087,0.0009
8x8,1024,16,FIFOModified,1,1087,0.0009
8x8,1024,16,LRU,1,1087,0.0009
16x16,64,4,FIFO,5376,3072,0.6364
16x16,64,4,FIFOModified,5376,3072,0.6364
16x16,64,4,LRU,4368,4080,0.5170
16x16,64,8,FIFO,4864,3584,0.5758
16x16,64,8,FIFOModified,4864,3584,0.5758
16x16,64,8,LRU,4368,4080,0.5170
16x16,64,16,FIFO,4608,3840,0.5455
16x16,64,16,FIFOModified,4608,3840,0.5455
16x16,64,16,LRU,4368,4080,0.5170
16x16,256,4,FIFO,1600,6848,0.1894
16x16,256,4,FIFOModified,1600,6848,0.1894
16x16,256,4,LRU,1284,7164,0.1520
16x16,256,8,FIFO,16,8432,0.0019
16x16,256,8,FIFOModified,16,8432,0.0019
16x16,256,8,LRU,12,8436,0.0014
16x16,256,16,FIFO,12,8436,0.0014
16x16,256,16,FIFOModified,12,8436,0.0014
16x16,256,16,LRU,12,8436,0.0014
16x16,1024,4,FIFO,3,8445,0.0004
16x16,1024,4,FIFOModified,3,8445,0.0004
16x16,1024,4,LRU,3,8445,0.0004
16x16,1024,8,FIFO,3,8445,0.0004
16x16,1024,8,FIFOModified,3,8445,0.0004
16x16,1024,8,LRU,3,8445,0.0004
16x16,1024,16,FIFO,3,8445,0.0004
16x16,1024,16,FIFOModified,3,8445,0.0004
16x16,1024,16,LRU,3,8445,0.0004
128x128,64,4,FIFO,2637824,1572864,0.6265
128x128,64,4,FIFOModified,2637824,1572864,0.6265
128x128,64,4,LRU,2244608,1966080,0.5331
128x128,64,8,FIFO,2375680,1835008,0.5642
128x128,64,8,FIFOModified,2375680,1835008,0.5642
128x128,64,8,LRU,2244608,1966080,0.5331
128x128,64,16,FIFO,2244608,1966080,0.5331
128x128,64,16,FIFOModified,2244608,1966080,0.5331
128x128,64,16,LRU,2244608,1966080,0.5331
128x128,256,4,FIFO,2637824,1572864,0.6265
128x128,256,4,FIFOModified,2637824,1572864,0.6265
128x128,256,4,LRU,2146304,2064384,0.5097
128x128,256,8,FIFO,2375680,1835008,0.5642
128x128,256,8,FIFOModified,2375680,1835008,0.5642
128x128,256,8,LRU,2146304,2064384,0.5097
128x128,256,16,FIFO,2244608,1966080,0.5331
128x128,256,16,FIFOModified,2244608,1966080,0.5331
128x128,256,16,LRU,2146304,2064384,0.5097
128x128,1024,4,FIFO,1331200,2879488,0.3161
128x128,1024,4,FIFOModified,1331200,2879488,0.3161
128x128,1024,4,LRU,1065024,3145664,0.2529
128x128,1024,8,FIFO,1198080,3012608,0.2845
128x128,1024,8,FIFOModified,1198080,3012608,0.2845
128x128,1024,8,LRU,1065024,3145664,0.2529
128x128,1024,16,FIFO,1131520,3079168,0.2687
128x128,1024,16,FIFOModified,1131520,3079168,0.2687
128x128,1024,16,LRU,1065024,3145664,0.2529
